Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3171,131,6,60,27,1337,204,231,141,1929,1,29,1
2819,187,6,30,30,727,215,220,105,4892,1,29,3
2937,131,11,108,24,3475,229,231,145,447,1,29,1
2830,36,26,319,21,600,202,229,204,2781,1,29,1
3381,189,13,242,26,1903,218,225,184,1785,2,32,1
3041,194,18,213,45,2346,202,200,122,300,1,23,2
3244,184,11,418,75,3177,215,228,147,2919,3,29,2
2425,4,31,708,47,1850,135,164,83,3693,4,10,6
2498,333,28,118,121,1985,164,238,140,4043,1,29,2
2865,231,31,491,-4,1327,242,219,102,866,3,33,1
3142,251,24,442,27,4056,168,214,191,756,1,24,1
3373,100,7,120,12,4481,208,220,165,1785,2,29,2
3230,180,26,400,24,1719,181,254,182,1200,2,23,1
3232,147,19,162,8,790,234,225,110,5644,1,30,2
3169,43,8,30,1,554,231,208,68,3614,3,38,1
3307,332,16,60,48,1080,173,241,190,3615,2,25,2
2229,293,14,601,42,1145,181,224,177,2686,4,6,3
2046,226,6,670,68,1674,219,229,158,792,1,29,2
3278,334,26,108,19,1123,208,251,120,1356,3,32,2
2954,195,25,108,30,3498,165,213,168,1743,3,33,6
3408,285,14,150,18,1097,227,217,151,4241,2,22,1
3225,253,11,561,223,1426,145,226,200,868,1,29,1
3132,345,19,391,-18,2492,184,229,163,1259,1,29,2
2883,322,38,410,148,1003,168,208,110,2105,1,10,3
3225,136,16,245,-16,1725,213,218,121,1332,3,35,1
2727,43,21,150,60,5000,225,167,144,3571,1,29,2
3250,248,23,127,165,4947,216,183,138,1930,3,33,2
3142,112,28,331,67,3212,230,231,172,3379,1,22,1
3164,111,17,150,34,2161,221,232,149,2712,1,29,1
3003,164,24,313,54,510,224,231,103,671,3,36,7
2201,53,19,223,258,1080,230,224,85,891,4,10,3
3414,334,6,30,39,1253,184,245,194,1088,1,10,2
3135,53,19,223,15,1129,229,216,136,722,2,32,1
3134,33,28,180,10,1276,216,227,154,1276,2,32,1
3093,271,33,423,159,1724,243,244,110,817,1,10,4
3217,25,35,554,46,1104,203,242,150,918,2,23,1
2291,4,38,521,-39,151,177,151,121,420,4,10,6
2812,253,20,248,67,1709,213,212,173,814,1,12,2
3141,275,11,150,249,1374,153,238,190,2261,2,24,2
2843,50,7,30,2,685,239,227,75,638,1,29,1
2715,318,23,30,119,1455,157,231,137,2485,3,10,2
3196,150,15,299,24,4329,224,237,148,2018,1,29,2
3336,341,13,320,342,3295,192,227,173,1138,2,23,1
2258,146,25,213,44,1148,200,196,180,400,4,40,1
3328,221,3,366,7,871,241,234,190,1228,1,29,1
3219,333,12,150,133,2351,198,224,151,2019,2,33,2
3112,44,16,42,18,3019,178,210,141,1742,1,22,1
3136,336,21,275,162,4211,174,185,187,1872,3,23,2
2249,101,8,124,15,2011,163,255,195,1324,1,22,1
2923,129,10,212,26,4554,204,242,188,2385,1,29,1
2876,333,4,0,0,2230,150,215,147,561,1,23,1
3134,29,25,30,4,1145,187,221,177,2409,3,23,2
3184,298,18,361,29,4739,196,229,168,1388,3,23,1
2810,92,16,323,125,5130,204,224,131,1331,1,29,1
2942,289,18,124,58,960,197,225,149,1989,3,32,2
3151,68,15,90,61,1106,248,206,129,5544,1,22,2
2391,134,9,150,9,1840,221,215,109,1200,4,3,1
3144,259,16,180,99,1952,206,229,162,1709,1,22,2
3334,276,15,150,34,1242,217,232,125,2343,1,32,6
3106,204,2,361,34,905,215,224,101,2328,2,22,1
2878,152,14,30,17,1678,239,207,100,1800,1,24,2
2823,176,24,276,126,3000,233,238,169,1782,4,10,3
2341,85,7,393,97,800,231,227,92,1517,3,6,2
2573,43,8,122,11,1915,232,235,142,476,4,10,3
3176,349,19,0,0,1304,218,245,150,2677,2,23,1
2180,121,25,301,141,615,235,240,124,1859,4,10,6
3113,304,19,69,22,5668,212,232,125,1655,2,29,2
3128,328,29,360,138,1577,155,190,188,5167,3,12,2
3163,346,13,256,22,3341,202,212,150,2874,2,23,1
2968,17,18,118,122,1149,220,221,177,1218,1,23,3
3156,152,17,519,218,1357,215,211,250,3019,2,23,2
3373,356,11,301,55,1020,213,245,124,1487,3,22,2
3066,69,11,30,3,899,184,226,151,1514,1,29,1
3012,291,20,462,222,2596,164,233,151,2118,2,3,3
3172,237,12,201,53,3933,212,248,154,3480,1,32,1
3165,10,6,108,13,1196,238,203,131,2163,4,6,3
2813,109,17,201,80,1604,202,214,160,1142,1,26,2
3236,199,11,170,163,3551,177,238,194,1727,2,16,6
3202,355,21,450,283,1261,164,217,16,1194,3,33,1
3249,344,16,152,10,1169,140,188,112,1744,2,23,1
2512,213,15,60,65,665,215,203,124,1298,4,6,3
3125,316,9,150,36,563,257,210,127,3256,1,12,2
2362,316,11,30,12,3685,212,216,114,2529,4,40,7
3103,201,13,108,7,5954,220,230,99,1540,3,23,1
2067,24,26,42,1,1090,193,218,148,1486,4,10,3
3214,317,16,67,5,2350,166,238,206,3998,1,29,1
2181,315,14,42,8,1826,183,227,161,4633,4,1,2
3134,34,6,708,42,3611,147,214,185,1531,3,13,2
2101,159,29,60,5,967,234,231,111,2469,4,10,6
2868,167,16,170,27,1120,238,220,162,1517,3,32,2
2210,114,26,108,105,5834,243,240,130,2518,4,2,3
2378,262,9,124,-4,1768,201,234,160,368,1,29,2
2215,101,20,466,27,1356,240,236,118,1270,1,10,2
3184,316,30,984,50,1086,203,232,144,1273,2,23,1
3043,128,20,47,-1,2555,213,198,156,2862,2,22,1
3138,32,14,211,25,1200,198,223,18,3627,3,23,2
3288,150,25,170,50,2819,245,178,163,962,1,29,1
2627,2,12,383,251,1022,192,211,162,5978,1,29,2
3112,346,19,477,22,1425,194,216,190,2378,1,29,1
2195,18,14,277,55,1344,214,211,147,3080,4,10,3
2532,100,15,30,14,4087,207,242,166,1726,3,31,2
3147,41,10,162,133,1998,202,222,128,1307,1,22,2
3121,162,13,573,17,1075,229,244,165,2429,3,30,2
2955,312,26,108,15,3310,192,158,167,1895,3,6,2
3286,128,10,660,138,883,234,229,113,4550,2,23,1
3034,147,10,695,126,919,225,253,132,1720,1,22,1
2913,350,3,264,132,2720,202,226,130,4400,1,32,2
3226,107,25,172,111,3419,224,224,156,1932,1,23,1
3199,189,22,242,113,771,201,243,19,1026,1,32,2
3203,345,12,258,77,1460,211,247,161,1779,1,29,1
3137,132,5,30,2,1236,232,225,152,1028,2,22,1
2814,250,11,202,63,422,160,237,235,1803,2,32,1
2168,85,10,108,21,1542,212,225,118,1616,1,10,2
3012,348,18,90,5,4261,230,224,94,8243,3,23,2
3108,84,17,429,142,5526,198,221,188,1342,1,29,2
3124,153,10,287,51,958,221,221,145,1334,3,33,2
3211,189,16,560,280,3361,211,226,112,1036,2,32,1
3111,118,26,422,160,572,208,198,113,2311,1,4,2
3013,58,19,798,76,6858,211,235,115,810,3,23,1
2823,47,27,244,60,2956,209,206,156,1996,4,10,3
2232,282,23,277,123,1801,187,230,194,1218,4,19,6
2387,386,16,124,17,2451,212,222,123,4891,4,10,3
2193,227,11,124,22,570,219,248,157,825,4,10,3
3211,45,15,0,0,6210,231,226,115,2480,1,29,2
3195,345,17,124,32,962,224,225,148,1200,3,32,1
3144,114,20,134,115,2175,202,231,198,1478,3,23,1
3260,108,15,305,25,2778,214,251,163,3844,1,23,1
2885,339,19,313,10,2117,213,203,158,2141,1,22,1
3224,163,12,247,1,2830,215,227,161,1368,1,23,1
3140,249,11,67,31,1040,201,228,165,2174,2,22,1
2396,105,14,708,43,5558,212,224,140,1219,3,23,2
3134,43,17,444,118,1417,204,205,160,608,1,22,1
3118,174,22,614,31,1161,193,231,203,2218,3,33,1
2900,83,14,212,220,1649,224,224,144,2130,1,22,2
3125,314,6,90,11,1862,188,228,191,732,2,23,1
3134,70,35,120,1,1129,225,156,95,1494,1,13,2
2130,217,13,454,11,2521,203,225,137,1080,4,10,6
2943,18,16,30,4,5568,217,221,127,1707,1,29,1
3184,344,13,124,43,1624,202,212,159,1981,1,23,2
3263,297,25,97,6,2075,150,216,191,1338,2,23,2
2212,61,11,108,114,776,221,150,148,4032,4,10,3
3223,326,12,295,43,796,184,228,162,854,2,24,1
3166,23,12,278,76,3320,214,208,139,2032,1,13,3
2406,297,15,251,33,1211,186,244,156,1508,4,6,3
3287,341,10,30,3,3750,188,227,153,1619,1,29,1
3261,230,15,482,20,1822,207,223,191,618,2,22,2
2328,143,17,277,19,1524,210,216,133,925,4,6,1
2960,160,12,30,48,1198,173,220,157,1833,1,6,1
3008,56,12,470,145,4667,209,214,159,1962,2,22,2
3258,205,27,196,73,2575,164,210,102,2541,1,23,1
3140,142,15,253,69,1600,241,247,106,1419,1,23,2
2121,248,19,30,21,3250,214,224,124,1737,1,10,2
3116,50,19,300,16,1444,226,211,129,512,1,22,1
3175,183,13,324,113,2119,237,241,119,4714,3,29,2
3126,286,21,108,73,1101,216,214,170,1364,3,33,2
2862,328,10,127,17,1220,216,226,116,1634,1,29,1
3180,294,22,276,137,3791,174,213,160,952,1,1,3
2882,143,24,176,72,5791,240,226,94,4624,1,19,2
3231,291,38,1208,257,2294,208,218,172,2178,3,32,2
2901,318,12,42,61,3350,214,216,138,860,1,10,2
3142,163,23,278,111,2021,225,224,151,1355,2,23,1
2999,135,11,420,96,2779,226,231,180,1807,3,33,1
2962,133,16,30,14,754,211,233,150,2770,1,12,2
3222,347,5,30,18,1450,201,231,100,908,2,23,2
3226,328,23,30,10,3015,203,194,163,4496,2,22,1
2339,91,16,120,21,1331,242,218,131,1252,1,10,2
3019,295,12,108,-192,1577,213,206,130,1293,1,10,2
2875,123,14,67,83,5606,233,235,113,1111,1,29,1
2262,82,16,242,108,1190,242,217,106,585,1,12,2
3020,172,19,382,102,1425,241,223,168,604,1,12,2
2256,267,21,784,113,1469,150,237,164,632,4,5,3
3036,45,25,0,0,1299,201,228,157,1042,1,29,2
2966,101,8,90,9,2306,205,235,120,450,1,23,2
2287,150,28,30,26,1172,177,251,178,1020,4,12,2
2238,350,27,0,0,1269,203,226,148,1005,4,10,6
3111,112,15,162,18,1581,242,214,114,1276,1,22,2
2413,202,13,290,41,3610,182,249,198,3355,1,29,1
3121,359,10,42,69,341,245,229,94,1619,2,23,1
3145,303,18,85,17,2687,242,216,112,2012,3,33,1
2246,15,14,233,47,892,226,214,122,2771,4,10,4
3383,285,15,0,0,3020,193,239,122,1140,1,23,2
3181,317,10,309,83,1097,185,236,174,2108,2,32,2
2090,315,36,310,102,1326,218,220,146,1157,4,10,7
2412,55,20,324,37,2401,225,212,137,1026,1,10,2
3219,149,14,391,90,5290,233,215,99,3315,3,33,1
2413,282,19,361,63,1759,192,215,163,4637,4,10,3
2515,103,18,511,47,1246,242,228,161,3198,1,19,2
3168,232,4,248,38,1925,204,229,202,4713,1,10,2
3236,39,12,48,2,2124,218,206,150,1418,2,22,7
3044,154,14,201,16,3930,228,205,103,2119,1,29,1
2972,152,22,437,42,180,242,183,111,5304,1,12,2
2276,183,9,134,39,2506,196,222,120,3910,4,10,2
3211,262,19,720,1,2464,197,236,156,1034,1,28,2
3144,144,11,852,41,1366,242,234,111,5092,2,23,1
3182,55,16,834,31,1654,225,243,122,1486,3,32,1
2984,38,24,172,170,1019,187,187,188,2777,1,29,1
3042,152,12,281,166,1994,209,198,169,1629,1,29,2
3031,308,13,134,19,2772,181,213,166,4777,3,32,2
2141,146,18,192,150,3147,231,205,122,3660,4,10,3
2342,232,14,296,168,1051,166,211,219,1733,3,10,2
3128,69,5,247,244,1478,238,245,120,1689,1,29,2
2341,297,6,341,40,876,133,225,164,1110,3,23,1
3131,344,35,134,11,1278,145,156,171,1550,1,29,2
3213,253,13,30,28,1307,191,235,162,1304,1,29,2
3142,171,14,60,11,562,241,233,136,2272,2,32,1
2795,46,14,543,37,1931,145,214,224,2585,3,33,2
2387,196,15,30,7,747,249,216,106,1233,4,10,3
2364,105,27,212,129,2121,235,187,146,1738,4,10,2
2497,244,14,60,48,2272,187,210,24,216,4,10,3
3130,266,19,30,3,2580,234,226,102,1299,2,22,2
2147,29,11,201,14,1203,205,242,132,2150,4,5,3
3200,55,4,277,286,1967,213,232,154,1426,2,23,2
3145,336,16,602,122,1520,163,206,155,791,1,29,2
3068,60,12,372,148,619,240,222,110,3005,3,29,2
3155,156,7,674,39,1720,243,224,150,1932,1,29,2
3285,30,8,180,209,1572,201,226,157,3467,2,23,1
2253,143,11,150,20,1432,239,225,164,1654,4,10,6
3338,353,10,127,56,3322,225,226,152,1648,2,23,1
2143,282,16,0,3,1643,203,221,129,2244,4,2,2
3021,323,25,845,30,2062,191,233,23,2142,3,33,1
2483,188,6,242,104,4658,211,225,133,160,1,10,2
3369,342,14,210,36,1148,186,212,129,358,3,33,2
3139,187,11,61,18,6670,225,207,150,4810,2,33,1
2409,9,16,192,31,1200,221,217,143,2869,4,10,2
3197,30,25,30,198,572,192,206,161,903,1,32,2
3225,15,25,311,32,3462,216,230,157,1685,1,23,2
2157,125,22,124,42,5658,232,220,158,992,4,10,3
2863,91,9,318,201,1493,240,232,161,2723,4,17,2
2046,18,21,636,53,1567,148,231,171,2518,4,6,3
3223,61,27,180,24,3347,225,207,90,428,2,39,1
2610,116,10,295,84,1321,242,224,15,342,4,10,6
2267,246,21,180,52,1118,195,229,182,4273,4,10,3
2924,177,14,243,161,755,246,245,129,1963,1,29,2
3215,96,16,552,223,1243,204,229,158,1848,2,32,2
2419,70,10,300,113,2114,236,223,78,964,4,39,1
3175,142,15,150,150,1578,230,228,83,1213,1,32,2
3084,318,26,150,12,1126,192,213,189,1918,3,33,2
3104,47,11,215,28,5373,212,229,140,1334,1,23,2
3141,41,11,108,71,211,228,215,141,1220,2,32,1
3293,63,16,242,-11,1256,204,214,183,1266,1,22,2
3018,94,11,1089,173,1274,233,221,134,1959,3,33,1
3148,135,13,552,118,1678,225,228,167,568,2,32,2
3208,10,16,242,36,1197,235,226,118,3543,1,29,1
3069,357,15,212,27,1126,210,221,149,678,1,29,2
2336,55,14,30,13,1520,224,214,133,1983,4,10,6
3105,297,16,294,64,625,173,234,153,1260,1,29,1
3044,114,12,30,11,1248,212,232,51,1507,2,23,1
3195,1,12,67,19,1242,215,216,142,1315,1,29,2
2829,218,25,707,142,1149,136,254,217,1349,3,11,2
3114,313,12,30,5,5002,202,210,151,1962,3,34,1
3234,339,15,218,252,3730,201,231,147,5345,2,24,1
2016,39,12,67,16,1104,223,211,143,2684,4,10,3
3240,352,19,95,120,2189,210,252,142,1628,3,32,2
3011,48,5,124,17,3510,235,225,156,1287,1,22,2
3099,131,15,211,166,2864,232,215,116,2673,2,22,2
3220,62,14,30,60,192,225,224,114,1107,2,32,1
3429,345,12,150,39,2173,192,238,122,3101,4,10,2
3349,287,16,201,9,679,219,196,149,897,2,33,1
3364,314,20,362,43,1336,172,221,170,1150,2,23,2
3137,337,13,211,117,1722,190,211,154,958,1,23,1
2966,41,17,1092,54,1605,226,228,125,1094,3,34,1
3243,291,14,30,19,833,185,231,217,420,2,32,2
3096,296,23,162,144,576,172,214,169,1796,1,29,1
3178,172,14,252,142,26496,248,198,114,2083,1,29,1
3130,134,25,30,18,1249,232,222,113,1375,1,24,2
2304,314,24,0,0,1140,167,225,123,997,4,6,1
3232,142,13,424,27,678,224,256,110,2141,4,10,6
2795,31,6,402,-1,1074,220,227,154,1549,1,10,2
3165,132,22,234,25,1080,216,241,143,2675,2,23,1
2825,22,15,211,19,4159,220,237,143,1684,1,29,2
2875,157,27,30,0,3268,208,240,156,3269,3,29,2
3272,349,14,361,111,2689,200,215,163,1346,1,39,1
3212,197,12,369,106,1123,227,232,146,1122,3,31,1
2375,143,16,192,118,1876,201,222,153,2171,4,10,3
2246,91,17,150,144,1621,233,197,131,1162,4,6,6
2476,243,22,212,121,515,192,246,175,4448,4,10,7
2444,16,12,124,21,1055,214,227,145,1285,1,22,1
2377,54,10,42,13,1998,228,232,125,3045,4,10,7
1956,36,13,60,7,210,165,219,199,212,4,4,1
3098,352,11,233,21,417,191,226,162,1321,2,29,1
3375,348,23,312,45,1208,210,208,145,1314,2,32,2
2744,167,16,30,-24,1690,183,207,185,4174,3,31,2
3151,35,15,138,120,405,145,210,175,277,1,10,2
3160,132,22,150,96,1200,246,222,117,2347,3,23,1
3311,62,17,59,28,1288,220,230,136,2018,3,33,1
2960,37,18,108,107,677,147,195,163,2661,3,22,1
2666,256,18,30,59,1011,195,214,186,1685,3,29,2
2520,133,12,30,2,1042,231,235,141,2320,1,29,2
3268,198,28,341,35,1726,184,223,201,3520,1,23,1
3160,126,29,363,17,524,247,184,184,2542,2,23,2
2413,85,20,252,39,534,241,206,87,4935,4,10,6
2501,172,12,269,34,1722,217,226,104,1940,1,29,1
3414,359,13,30,4,1703,208,225,151,1208,2,29,1
3010,333,12,277,73,1599,189,225,146,1651,1,19,2
2154,147,18,127,36,2120,217,206,124,1648,4,10,3
3210,217,6,362,27,1482,206,248,189,1064,1,24,1
2926,162,16,30,14,3470,228,226,144,2289,1,24,2
3135,294,18,507,214,2608,183,236,198,1894,1,29,2
3375,175,13,150,60,1443,228,233,143,1611,1,29,2
3119,113,13,95,10,2523,226,232,119,1414,2,22,1
2259,123,6,150,18,821,249,221,193,857,4,3,3
3684,329,28,60,21,4066,187,184,172,1143,2,22,2
3165,66,6,277,60,826,232,224,121,4840,2,33,1
3145,112,19,212,197,600,221,228,120,746,1,29,2
3108,212,11,190,67,1488,221,214,144,1568,1,18,2
2924,172,17,30,35,1113,228,233,147,1187,1,7,2
2725,270,15,277,118,1841,185,213,190,1286,4,6,3
3256,313,15,245,17,2352,143,233,171,443,2,23,1
2179,38,22,122,156,990,208,175,111,1589,4,10,7
3201,243,14,510,71,855,214,227,136,1413,1,30,1
3140,163,19,248,16,4847,233,228,142,1042,3,32,1
2986,51,11,30,26,1150,225,202,98,1226,4,10,3
2148,104,14,250,134,172,219,224,157,409,4,10,2
3018,238,13,42,-2,1410,242,238,130,1578,1,29,2
2876,163,18,248,168,955,202,225,183,870,1,3,2
2589,37,13,278,146,2100,189,223,182,1365,1,29,2
2673,48,10,511,38,1584,224,232,125,1501,1,29,2
3246,185,18,150,22,1577,221,211,196,1500,3,22,1
2644,137,7,351,25,3230,233,207,157,1231,1,10,6
3025,352,12,339,111,5952,225,221,122,1504,1,23,2
3160,327,2,190,-1,850,215,245,150,1728,2,23,2
3116,30,26,309,44,1769,166,231,194,2258,2,23,1
2130,348,33,127,169,988,170,232,161,1209,4,40,1
3242,314,12,30,24,6196,172,221,189,1101,2,39,1
3108,280,36,524,18,912,185,217,204,874,3,32,1
3168,183,26,170,23,4433,206,197,160,2179,2,29,1
3234,117,7,30,37,6890,237,223,111,2418,3,23,1
2395,311,22,361,73,2088,164,217,187,1011,4,10,3
3167,341,38,0,0,456,205,226,189,3823,3,24,1
2332,253,18,277,84,1524,198,236,164,4317,4,10,2
2413,319,18,30,12,550,201,197,148,1032,4,10,3
3212,51,10,60,5,5059,226,225,147,1370,2,23,2
2146,135,13,0,0,1050,232,233,133,2550,4,6,6
3173,293,22,491,38,775,184,244,183,2793,2,29,1
3082,50,2,365,-1,1493,204,246,123,1779,3,38,7
3053,262,11,150,19,2831,219,227,132,1733,1,29,1
3133,16,16,30,14,898,238,237,139,1990,1,29,2
2640,346,10,128,67,1922,235,220,117,1808,1,12,2
3360,146,32,283,21,995,232,189,174,1360,1,29,2
3123,133,15,309,30,853,232,233,136,1058,2,23,2
2240,246,31,260,45,1006,145,239,178,1942,4,10,3
2471,337,24,170,73,1144,144,205,202,1124,4,10,7
2914,55,35,42,24,3393,215,226,125,1393,1,11,2
2275,32,21,60,16,1504,158,242,201,2519,4,10,3
3413,382,9,142,35,2186,171,213,167,456,3,33,2
3270,137,12,108,15,4036,229,237,135,4100,3,29,1
3408,283,14,573,29,444,203,221,121,2077,1,40,1
3026,148,13,200,9,1251,225,234,135,1007,1,29,2
2356,92,17,68,32,711,226,224,153,647,4,10,1
2511,293,14,213,81,1896,207,234,168,3219,4,10,3
3179,226,26,104,-58,300,146,205,139,633,3,38,2
2672,327,35,672,52,888,155,206,159,827,3,18,2
3129,245,11,30,13,1507,162,223,208,1194,2,32,1
2372,107,10,465,115,1201,239,220,125,1200,4,10,1
3564,255,20,85,83,1830,217,225,174,1857,1,23,2
3241,289,16,391,38,1259,150,208,215,2681,2,23,1
3215,291,16,618,39,1263,206,252,173,542,2,29,1
2722,150,14,240,77,2734,231,212,115,1126,3,38,2
2300,195,20,137,71,2783,225,224,119,2174,3,29,1
2503,60,10,150,18,1108,259,207,99,1227,1,3,2
3276,89,13,372,131,1750,218,236,171,2256,1,29,1
2217,35,2,250,79,842,194,229,166,1042,4,10,3
2939,134,14,67,23,2304,223,235,135,606,1,29,2
3208,26,10,85,18,5996,221,232,129,272,2,30,1
3125,341,6,142,103,1032,232,233,143,1045,3,23,2
3290,6,17,118,47,2600,246,252,125,5334,1,10,3
3260,23,19,228,39,1645,209,197,160,655,2,22,2
2983,245,14,478,25,1083,195,229,199,7108,1,30,1
2278,127,11,30,48,1716,188,237,194,5015,4,10,3
3206,41,10,330,54,783,221,226,136,417,2,38,1
2986,42,5,269,83,2494,201,225,122,1190,1,29,1
3382,165,19,581,86,1238,222,223,142,1269,2,23,1
3196,106,19,30,1,2080,221,229,116,993,3,33,2
3199,299,19,214,124,1283,187,219,193,1230,1,10,2
2932,211,26,492,177,2184,216,234,146,1622,1,13,2
3074,237,11,30,19,2447,208,241,116,1302,1,23,2
3264,77,17,172,211,1365,242,227,122,2544,3,38,1
3182,37,15,582,53,2499,204,236,145,1688,1,29,2
2938,120,19,272,156,1067,241,218,118,6064,3,30,2
3298,107,6,300,38,1616,235,221,136,1176,1,29,2
3100,17,11,1270,213,1518,229,236,176,1507,1,30,2
3062,314,15,150,15,2444,219,230,153,2465,1,29,2
