Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3116.0,342.0,8.0,306.0,70.0,4920.0,205.0,229.0,163.0,741.0,1,29,2
2747.0,99.0,16.0,90.0,23.0,1952.0,244.0,217.0,98.0,361.0,3,31,1
3188.0,346.0,4.0,30.0,2.0,5172.0,212.0,233.0,159.0,1854.0,1,23,1
2828.0,76.0,16.0,488.0,94.0,272.0,238.0,208.0,96.0,959.0,3,11,2
3099.0,350.0,12.0,446.0,-26.0,2695.0,198.0,220.0,160.0,703.0,3,23,1
2067.0,103.0,21.0,0.0,0.0,853.0,250.0,208.0,76.0,182.0,4,1,4
2826.0,269.0,33.0,120.0,64.0,1150.0,117.0,230.0,241.0,1332.0,3,13,2
2814.0,163.0,6.0,0.0,0.0,1380.0,226.0,242.0,150.0,2268.0,3,20,1
2611.0,69.0,7.0,323.0,70.0,446.0,228.0,226.0,131.0,1560.0,1,12,2
3139.0,68.0,8.0,170.0,20.0,3488.0,229.0,223.0,127.0,3989.0,1,29,1
2330.0,338.0,24.0,95.0,40.0,1253.0,161.0,198.0,172.0,342.0,4,10,3
3116.0,67.0,18.0,390.0,41.0,3542.0,235.0,202.0,93.0,4767.0,1,29,2
2127.0,304.0,20.0,339.0,115.0,391.0,159.0,225.0,204.0,600.0,4,10,3
2328.0,92.0,13.0,469.0,34.0,1365.0,240.0,220.0,109.0,964.0,4,2,4
2832.0,106.0,8.0,350.0,77.0,1230.0,235.0,230.0,127.0,938.0,3,28,2
3098.0,315.0,10.0,201.0,72.0,618.0,193.0,232.0,178.0,1158.0,2,22,1
3108.0,212.0,27.0,655.0,311.0,2325.0,186.0,253.0,189.0,1233.0,3,13,2
3148.0,61.0,11.0,150.0,-13.0,2590.0,229.0,218.0,121.0,1230.0,3,22,1
2902.0,148.0,16.0,295.0,96.0,2068.0,240.0,236.0,120.0,1172.0,3,32,2
2982.0,148.0,6.0,457.0,86.0,5433.0,228.0,240.0,145.0,4377.0,1,29,2
2344.0,29.0,24.0,210.0,97.0,953.0,203.0,179.0,101.0,900.0,4,10,6
3414.0,347.0,8.0,767.0,138.0,2282.0,204.0,227.0,161.0,1337.0,3,32,1
3109.0,138.0,11.0,85.0,4.0,3886.0,237.0,236.0,129.0,3072.0,3,22,1
3019.0,353.0,9.0,0.0,0.0,845.0,204.0,224.0,158.0,1422.0,2,22,2
2730.0,98.0,12.0,30.0,7.0,1015.0,239.0,223.0,113.0,1615.0,1,12,2
2318.0,302.0,13.0,134.0,48.0,1260.0,183.0,234.0,190.0,361.0,4,10,6
2812.0,103.0,12.0,95.0,20.0,2324.0,240.0,224.0,112.0,3195.0,1,29,1
3301.0,17.0,13.0,716.0,131.0,1024.0,208.0,211.0,138.0,2281.0,1,23,2
3210.0,159.0,8.0,42.0,-3.0,2371.0,229.0,242.0,145.0,3870.0,2,23,1
2649.0,74.0,18.0,420.0,14.0,1140.0,239.0,202.0,88.0,1248.0,1,30,2
3258.0,57.0,5.0,503.0,14.0,4241.0,223.0,229.0,142.0,2480.0,1,22,1
3256.0,39.0,9.0,474.0,58.0,1065.0,221.0,219.0,133.0,1584.0,2,24,1
3209.0,338.0,9.0,127.0,21.0,1271.0,201.0,228.0,166.0,937.0,2,24,1
3030.0,223.0,10.0,509.0,111.0,3129.0,207.0,250.0,178.0,819.0,3,32,2
2872.0,4.0,11.0,277.0,51.0,2455.0,205.0,219.0,150.0,2652.0,1,12,2
3380.0,234.0,21.0,134.0,23.0,1973.0,179.0,253.0,206.0,3668.0,2,33,1
2340.0,345.0,13.0,256.0,93.0,573.0,194.0,219.0,163.0,674.0,4,10,3
2610.0,104.0,7.0,362.0,92.0,2385.0,232.0,231.0,131.0,450.0,3,2,3
3004.0,98.0,13.0,573.0,6.0,4312.0,240.0,222.0,110.0,3132.0,1,29,2
2657.0,34.0,14.0,433.0,53.0,636.0,217.0,210.0,125.0,192.0,3,10,2
2532.0,56.0,13.0,175.0,15.0,630.0,228.0,213.0,116.0,108.0,1,16,2
3097.0,237.0,17.0,726.0,60.0,2026.0,187.0,252.0,200.0,845.0,3,13,2
3416.0,301.0,1.0,799.0,-76.0,810.0,215.0,238.0,161.0,335.0,2,38,7
2771.0,314.0,17.0,162.0,50.0,2514.0,171.0,224.0,192.0,175.0,3,33,2
2324.0,66.0,9.0,180.0,37.0,1130.0,229.0,223.0,127.0,1024.0,4,3,3
2382.0,111.0,21.0,376.0,67.0,459.0,250.0,213.0,81.0,1082.0,4,3,3
2563.0,77.0,13.0,272.0,53.0,720.0,236.0,216.0,108.0,95.0,1,29,2
3459.0,306.0,16.0,604.0,146.0,1075.0,174.0,229.0,195.0,1353.0,2,40,1
3164.0,120.0,23.0,384.0,-157.0,319.0,251.0,215.0,79.0,3723.0,2,22,2
2277.0,344.0,21.0,234.0,84.0,1224.0,173.0,203.0,165.0,807.0,4,10,6
3154.0,97.0,6.0,150.0,15.0,636.0,229.0,232.0,137.0,2538.0,2,23,2
2860.0,103.0,21.0,300.0,93.0,510.0,250.0,208.0,76.0,1293.0,1,30,5
3194.0,11.0,10.0,424.0,50.0,6191.0,210.0,221.0,147.0,1167.0,1,29,1
2920.0,310.0,15.0,437.0,20.0,2704.0,179.0,229.0,190.0,1324.0,3,24,2
3114.0,333.0,5.0,592.0,-71.0,1036.0,208.0,233.0,164.0,1168.0,2,23,2
3373.0,79.0,5.0,175.0,3.0,4306.0,226.0,231.0,139.0,3986.0,1,40,7
2955.0,34.0,5.0,175.0,-4.0,1084.0,219.0,228.0,145.0,2233.0,1,23,2
2896.0,109.0,17.0,108.0,29.0,4149.0,247.0,218.0,94.0,6212.0,1,12,2
3004.0,54.0,2.0,42.0,0.0,4524.0,220.0,234.0,150.0,576.0,1,30,2
2857.0,64.0,8.0,400.0,78.0,1366.0,228.0,224.0,129.0,2799.0,3,26,2
2163.0,3.0,26.0,67.0,24.0,742.0,175.0,179.0,133.0,1575.0,4,17,3
2253.0,2.0,34.0,95.0,56.0,1170.0,152.0,154.0,123.0,618.0,4,10,3
3009.0,57.0,15.0,256.0,42.0,4794.0,229.0,207.0,108.0,1624.0,1,29,1
2374.0,311.0,18.0,124.0,32.0,1489.0,169.0,225.0,195.0,421.0,4,10,6
2006.0,142.0,27.0,134.0,54.0,175.0,247.0,221.0,83.0,400.0,4,1,3
2919.0,120.0,9.0,212.0,39.0,3695.0,236.0,232.0,127.0,5219.0,1,29,2
3027.0,197.0,22.0,210.0,76.0,1530.0,208.0,252.0,168.0,1149.0,3,13,2
3082.0,306.0,17.0,589.0,171.0,5264.0,170.0,228.0,197.0,771.0,1,29,2
2398.0,64.0,19.0,430.0,68.0,603.0,234.0,198.0,89.0,1294.0,4,10,6
3227.0,38.0,9.0,234.0,39.0,631.0,221.0,221.0,135.0,1213.0,2,24,2
2896.0,135.0,28.0,108.0,56.0,5738.0,250.0,214.0,71.0,4441.0,1,30,2
2377.0,9.0,16.0,60.0,3.0,745.0,201.0,207.0,141.0,1036.0,3,10,6
3194.0,7.0,10.0,474.0,156.0,3528.0,208.0,221.0,150.0,1800.0,3,31,1
3403.0,30.0,12.0,497.0,-6.0,765.0,216.0,214.0,132.0,751.0,2,40,7
2955.0,174.0,6.0,234.0,21.0,3636.0,224.0,243.0,153.0,2148.0,1,12,2
2950.0,112.0,16.0,234.0,52.0,2300.0,246.0,221.0,99.0,1965.0,3,24,2
2960.0,352.0,15.0,150.0,36.0,3750.0,193.0,213.0,158.0,1383.0,1,29,2
2383.0,101.0,37.0,277.0,155.0,1672.0,251.0,163.0,0.0,295.0,4,3,3
2927.0,282.0,21.0,285.0,-3.0,2055.0,157.0,236.0,217.0,1343.0,3,31,2
2812.0,159.0,6.0,0.0,0.0,2609.0,226.0,241.0,149.0,1950.0,1,23,2
2380.0,252.0,14.0,270.0,110.0,1112.0,188.0,249.0,198.0,323.0,4,10,6
2780.0,80.0,11.0,474.0,-3.0,1739.0,234.0,221.0,118.0,947.0,1,12,2
3062.0,103.0,26.0,731.0,230.0,741.0,253.0,195.0,54.0,1106.0,1,29,2
3372.0,169.0,6.0,741.0,43.0,976.0,225.0,243.0,152.0,4366.0,2,33,1
3404.0,140.0,7.0,60.0,4.0,1874.0,231.0,238.0,139.0,3188.0,2,35,1
2300.0,260.0,28.0,42.0,19.0,1392.0,142.0,242.0,231.0,760.0,4,10,6
3053.0,250.0,9.0,67.0,9.0,3066.0,201.0,247.0,184.0,1415.0,3,33,2
2919.0,311.0,29.0,210.0,72.0,5691.0,129.0,204.0,209.0,4741.0,1,24,2
3192.0,3.0,10.0,258.0,-2.0,750.0,207.0,221.0,152.0,1040.0,2,32,2
2191.0,251.0,31.0,190.0,114.0,297.0,137.0,243.0,233.0,666.0,4,1,3
3314.0,241.0,8.0,752.0,130.0,745.0,204.0,247.0,181.0,1150.0,2,23,1
3218.0,276.0,18.0,256.0,64.0,4670.0,168.0,241.0,211.0,3482.0,1,29,1
2424.0,301.0,16.0,270.0,84.0,30.0,174.0,232.0,197.0,532.0,4,10,3
3338.0,98.0,10.0,180.0,5.0,876.0,237.0,225.0,118.0,3733.0,2,32,2
2998.0,57.0,11.0,42.0,9.0,2801.0,228.0,216.0,120.0,787.0,1,29,1
2171.0,285.0,31.0,150.0,93.0,1471.0,119.0,222.0,234.0,837.0,4,10,3
2255.0,23.0,12.0,0.0,0.0,959.0,212.0,214.0,136.0,1180.0,4,10,4
3340.0,311.0,20.0,765.0,167.0,882.0,162.0,221.0,198.0,481.0,2,33,1
3146.0,234.0,11.0,108.0,9.0,907.0,202.0,250.0,185.0,4841.0,2,22,2
3428.0,163.0,12.0,607.0,-24.0,1374.0,231.0,243.0,141.0,3907.0,2,38,1
2972.0,52.0,15.0,85.0,13.0,5261.0,227.0,206.0,108.0,2454.0,1,29,1
2366.0,354.0,18.0,192.0,57.0,1332.0,188.0,206.0,154.0,366.0,4,10,6
3197.0,39.0,16.0,67.0,3.0,2052.0,219.0,203.0,115.0,4410.0,2,23,1
2357.0,207.0,26.0,30.0,5.0,382.0,192.0,253.0,183.0,1026.0,4,4,3
3422.0,235.0,18.0,543.0,-30.0,1591.0,186.0,253.0,200.0,3813.0,2,33,1
3087.0,104.0,4.0,430.0,49.0,1710.0,226.0,234.0,143.0,2287.0,1,29,2
2385.0,337.0,15.0,499.0,188.0,805.0,186.0,218.0,171.0,1507.0,4,6,3
2305.0,296.0,20.0,95.0,17.0,1436.0,159.0,229.0,208.0,721.0,4,10,6
3026.0,142.0,6.0,335.0,5.0,1388.0,229.0,239.0,143.0,1355.0,3,32,2
3105.0,319.0,10.0,124.0,19.0,60.0,193.0,231.0,177.0,1116.0,2,23,1
3063.0,323.0,2.0,558.0,113.0,819.0,213.0,236.0,161.0,904.0,2,23,2
3258.0,330.0,18.0,42.0,10.0,3084.0,174.0,215.0,180.0,2579.0,3,24,1
3092.0,322.0,8.0,201.0,24.0,150.0,199.0,232.0,173.0,1602.0,2,23,1
3146.0,337.0,19.0,335.0,37.0,426.0,175.0,210.0,172.0,1804.0,2,22,1
2683.0,24.0,8.0,153.0,7.0,1824.0,216.0,222.0,143.0,5343.0,1,29,2
2341.0,81.0,25.0,85.0,25.0,1006.0,244.0,186.0,56.0,907.0,4,5,3
3236.0,36.0,6.0,785.0,68.0,1530.0,220.0,226.0,143.0,2539.0,2,23,2
3350.0,125.0,15.0,190.0,21.0,806.0,244.0,228.0,108.0,4061.0,2,32,2
3060.0,168.0,14.0,30.0,-3.0,6720.0,230.0,245.0,143.0,3032.0,1,29,2
2428.0,39.0,9.0,0.0,0.0,918.0,221.0,219.0,133.0,595.0,4,10,2
