date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.876,7,0.106,0.021,0.108,0.001,0.134,0.838,DOWN
0.027,5,0.894,0.049,0.393,0.003,0.423,0.415,DOWN
0.434,3,0.149,0.043,0.106,0.003,0.423,0.415,DOWN
0.912,5,0.894,0.042,0.379,0.003,0.381,0.57,DOWN
0.426,6,0.787,0.062,0.316,0.003,0.423,0.415,DOWN
0.469,6,0.426,0.03,0.518,0.002,0.582,0.496,DOWN
0.452,6,0.809,0.071,0.725,0.005,0.67,0.517,UP
0.005,7,0.021,0.058,0.405,0.003,0.423,0.415,DOWN
0.005,4,0.872,0.043,0.587,0.003,0.423,0.415,DOWN
0.014,2,0.106,0.041,0.224,0.003,0.423,0.415,DOWN
0.881,5,0.128,0.017,0.094,0.001,0.268,0.769,DOWN
0.868,2,0.66,0.03,0.481,0.002,0.482,0.606,DOWN
0.014,6,0.596,0.041,0.539,0.003,0.423,0.415,DOWN
0.013,2,0.319,0.075,0.639,0.003,0.423,0.415,UP
0.456,6,0.787,0.044,0.721,0.003,0.676,0.498,DOWN
0.872,2,0.787,0.035,0.601,0.002,0.582,0.578,DOWN
0.46,6,0.851,0.035,0.401,0.002,0.273,0.576,DOWN
0.903,5,0.872,0.064,0.45,0.004,0.498,0.469,DOWN
0.448,6,0.702,0.046,0.545,0.003,0.485,0.553,DOWN
0.461,5,0.106,0.033,0.227,0.002,0.338,0.671,DOWN
0.43,5,0.979,0.085,0.569,0.003,0.423,0.415,UP
0.018,2,0.936,0.079,0.481,0.003,0.423,0.415,UP
0.872,5,0.191,0.029,0.205,0.002,0.275,0.901,DOWN
0.001,7,0.213,0.069,0.112,0.003,0.423,0.415,DOWN
0.456,4,0.809,0.038,0.782,0.003,0.615,0.484,DOWN
0.434,5,0.468,0.082,0.538,0.003,0.423,0.415,UP
0.461,6,0.383,0.033,0.576,0.002,0.529,0.241,DOWN
0.872,1,0.043,0.028,0.182,0.001,0.253,0.829,DOWN
0.009,7,0.085,0.045,0.292,0.003,0.423,0.415,DOWN
0.903,7,0.106,0.043,0.151,0.003,0.247,0.903,DOWN
0.912,1,0.213,0.039,0.176,0.003,0.196,0.415,DOWN
0.023,5,0.574,0.107,0.464,0.003,0.423,0.415,UP
0.018,5,0.553,0.058,0.466,0.003,0.423,0.415,DOWN
0.438,7,0.851,0.049,0.276,0.003,0.423,0.415,DOWN
0.022,1,0.936,0.048,0.362,0.003,0.423,0.415,DOWN
0.435,5,0.617,0.041,0.324,0.003,0.423,0.415,DOWN
0.898,1,0.447,0.091,0.537,0.006,0.387,0.718,UP
0.434,5,0.128,0.041,0.192,0.003,0.423,0.415,DOWN
0.473,3,0.404,0.03,0.616,0.002,0.365,0.422,UP
0.022,3,0.043,0.058,0.231,0.003,0.423,0.415,DOWN
0.461,3,0.766,0.03,0.506,0.002,0.48,0.468,UP
0.881,3,0.957,0.031,0.448,0.002,0.361,0.703,DOWN
0.023,4,0.128,0.047,0.143,0.003,0.423,0.415,DOWN
0.912,5,0.489,0.051,0.565,0.003,0.556,0.459,UP
0.005,7,0.298,0.052,0.141,0.003,0.423,0.415,DOWN
0.868,4,0.468,0.028,0.57,0.002,0.511,0.668,UP
0.456,7,0.0,0.033,0.443,0.002,0.365,0.548,DOWN
0.023,1,0.936,0.048,0.225,0.003,0.423,0.415,DOWN
0.434,2,0.851,0.047,0.392,0.003,0.423,0.415,UP
0.474,5,0.532,0.039,0.493,0.003,0.445,0.649,DOWN
0.018,6,0.468,0.069,0.397,0.003,0.423,0.415,DOWN
0.469,7,0.681,0.027,0.334,0.002,0.169,0.611,DOWN
0.907,5,0.404,0.079,0.533,0.005,0.531,0.487,DOWN
0.425,5,0.809,0.073,0.28,0.003,0.423,0.415,UP
0.438,6,0.149,0.068,0.13,0.003,0.423,0.415,UP
0.434,1,0.574,0.067,0.544,0.003,0.423,0.415,UP
0.004,4,0.0,0.077,0.545,0.003,0.423,0.415,UP
0.009,5,0.702,0.042,0.519,0.003,0.423,0.415,DOWN
0.026,6,0.021,0.048,0.304,0.003,0.423,0.415,DOWN
0.474,7,0.979,0.028,0.368,0.002,0.232,0.766,DOWN
0.443,2,0.936,0.041,0.45,0.003,0.443,0.602,DOWN
0.452,4,0.872,0.033,0.613,0.002,0.545,0.511,DOWN
0.001,2,0.404,0.044,0.518,0.003,0.423,0.415,DOWN
0.439,3,0.766,0.055,0.482,0.003,0.423,0.415,DOWN
0.009,7,0.298,0.076,0.352,0.003,0.423,0.415,DOWN
0.014,3,0.979,0.081,0.492,0.003,0.423,0.415,UP
0.004,4,0.809,0.045,0.523,0.003,0.423,0.415,DOWN
0.903,7,0.34,0.089,0.437,0.006,0.343,0.761,UP
0.018,5,0.34,0.047,0.463,0.003,0.423,0.415,DOWN
0.009,7,0.681,0.042,0.236,0.003,0.423,0.415,DOWN
0.474,5,0.851,0.044,0.49,0.003,0.355,0.558,DOWN
0.439,5,0.234,0.056,0.153,0.003,0.423,0.415,DOWN
0.871,2,0.511,0.032,0.675,0.002,0.53,0.764,UP
0.434,1,0.723,0.05,0.503,0.003,0.423,0.415,UP
0.898,4,0.809,0.073,0.671,0.005,0.668,0.517,DOWN
0.996,7,0.511,0.072,0.258,0.002,0.287,0.433,UP
0.001,1,0.085,0.065,0.17,0.003,0.423,0.415,DOWN
0.443,2,0.787,0.071,0.564,0.005,0.528,0.484,UP
0.026,7,0.064,0.048,0.113,0.003,0.423,0.415,DOWN
0.014,5,0.617,0.041,0.419,0.003,0.423,0.415,DOWN
0.018,2,0.255,0.067,0.437,0.003,0.423,0.415,DOWN
0.456,1,0.617,0.034,0.454,0.002,0.332,0.739,UP
0.443,7,0.532,0.047,0.359,0.003,0.336,0.501,DOWN
0.868,2,0.872,0.033,0.403,0.002,0.39,0.783,UP
0.027,2,0.574,0.102,0.497,0.003,0.423,0.415,UP
0.027,3,0.787,0.075,0.487,0.003,0.423,0.415,DOWN
0.911,6,0.872,0.049,0.47,0.003,0.409,0.548,DOWN
0.434,3,0.085,0.05,0.472,0.003,0.423,0.415,DOWN
0.46,7,0.617,0.029,0.274,0.002,0.243,0.415,DOWN
0.473,4,0.362,0.045,0.576,0.003,0.542,0.363,UP
0.023,3,0.234,0.061,0.203,0.003,0.423,0.415,DOWN
0.027,2,0.66,0.075,0.48,0.003,0.423,0.415,UP
0.027,6,0.766,0.089,0.39,0.003,0.423,0.415,UP
0.426,5,0.553,0.09,0.502,0.003,0.423,0.415,UP
0.474,6,0.766,0.086,0.446,0.006,0.379,0.658,UP
0.908,7,0.298,0.042,0.442,0.003,0.342,0.603,UP
0.434,5,0.702,0.045,0.413,0.003,0.423,0.415,DOWN
0.439,3,0.936,0.053,0.426,0.003,0.423,0.415,DOWN
0.881,2,0.553,0.029,0.481,0.002,0.558,0.374,UP
0.018,6,0.106,0.047,0.236,0.003,0.423,0.415,DOWN
0.439,6,0.979,0.055,0.281,0.003,0.423,0.415,DOWN
0.434,3,0.979,0.074,0.464,0.003,0.423,0.415,DOWN
0.014,6,0.426,0.041,0.509,0.003,0.423,0.415,DOWN
0.031,7,0.213,0.053,0.127,0.003,0.423,0.415,DOWN
0.438,7,0.809,0.048,0.412,0.003,0.423,0.415,DOWN
0.442,7,0.277,0.044,0.239,0.003,0.185,0.501,DOWN
0.438,4,0.809,0.056,0.465,0.003,0.423,0.415,DOWN
0.032,4,0.511,0.058,0.28,0.003,0.423,0.415,DOWN
0.881,2,0.234,0.03,0.276,0.002,0.328,0.757,UP
0.005,4,0.468,0.055,0.569,0.003,0.423,0.415,DOWN
0.01,6,0.809,0.042,0.33,0.003,0.423,0.415,DOWN
0.01,1,0.404,0.042,0.726,0.003,0.423,0.415,DOWN
0.023,2,0.851,0.071,0.431,0.003,0.423,0.415,UP
0.031,6,0.34,0.06,0.297,0.003,0.423,0.415,DOWN
0.004,1,0.489,0.045,0.558,0.003,0.423,0.415,DOWN
0.032,6,0.851,0.058,0.334,0.003,0.423,0.415,DOWN
0.032,3,0.936,0.058,0.229,0.003,0.423,0.415,DOWN
0.469,7,0.128,0.023,0.12,0.002,0.22,0.723,DOWN
0.474,7,0.085,0.025,0.186,0.001,0.232,0.766,DOWN
0.456,6,0.213,0.031,0.317,0.002,0.341,0.786,DOWN
0.005,7,0.638,0.042,0.279,0.003,0.423,0.415,UP
0.867,7,0.234,0.028,0.154,0.002,0.15,0.731,DOWN
0.456,7,0.021,0.033,0.395,0.002,0.364,0.577,DOWN
0.894,4,0.872,0.057,0.693,0.004,0.547,0.613,DOWN
0.867,5,0.021,0.035,0.283,0.002,0.386,0.628,DOWN
0.899,2,0.383,0.081,0.538,0.005,0.558,0.429,UP
0.889,7,0.638,0.028,0.315,0.002,0.264,0.724,DOWN
0.009,4,0.787,0.078,0.707,0.003,0.423,0.415,UP
0.447,7,0.426,0.048,0.513,0.003,0.313,0.55,DOWN
0.014,2,0.915,0.042,0.428,0.003,0.423,0.415,DOWN
0.434,3,0.894,0.047,0.352,0.003,0.423,0.415,DOWN
0.474,1,0.234,0.024,0.118,0.002,0.168,0.879,DOWN
0.013,2,0.489,0.057,0.527,0.003,0.423,0.415,DOWN
0.001,4,0.745,0.075,0.447,0.003,0.423,0.415,DOWN
0.442,5,0.766,0.055,0.376,0.003,0.423,0.415,DOWN
0.022,3,0.766,0.078,0.311,0.003,0.423,0.415,UP
0.433,4,0.404,0.059,0.52,0.003,0.423,0.415,DOWN
0.031,6,0.468,0.057,0.387,0.003,0.423,0.415,DOWN
0.461,7,0.149,0.028,0.112,0.002,0.158,0.69,DOWN
0.912,6,0.298,0.053,0.368,0.004,0.424,0.434,DOWN
0.461,3,0.149,0.03,0.312,0.002,0.339,0.402,DOWN
0.881,6,0.128,0.024,0.143,0.002,0.268,0.664,DOWN
0.009,7,0.404,0.042,0.536,0.003,0.423,0.415,DOWN
0.023,3,0.702,0.075,0.451,0.003,0.423,0.415,UP
0.426,6,0.34,0.058,0.289,0.003,0.423,0.415,DOWN
0.872,6,0.979,0.045,0.388,0.003,0.291,0.828,DOWN
0.903,3,0.681,0.085,0.554,0.006,0.519,0.52,UP
0.027,2,0.66,0.078,0.462,0.003,0.423,0.415,UP
0.899,5,0.745,0.088,0.683,0.006,0.628,0.474,UP
0.473,7,0.298,0.041,0.372,0.003,0.323,0.635,UP
0.023,3,0.149,0.067,0.169,0.003,0.423,0.415,DOWN
0.022,3,0.085,0.046,0.306,0.003,0.423,0.415,DOWN
0.461,2,0.447,0.031,0.515,0.002,0.407,0.487,UP
0.429,6,0.362,0.067,0.404,0.003,0.423,0.415,UP
0.451,7,0.894,0.041,0.488,0.003,0.397,0.623,UP
0.474,6,0.915,0.028,0.448,0.002,0.434,0.536,DOWN
0.452,5,0.915,0.031,0.561,0.002,0.472,0.665,DOWN
0.01,4,0.404,0.085,0.602,0.003,0.423,0.415,UP
0.032,1,0.468,0.067,0.237,0.003,0.423,0.415,DOWN
0.004,7,0.426,0.045,0.302,0.003,0.423,0.415,DOWN
0.425,5,0.085,0.067,0.285,0.003,0.423,0.415,DOWN
0.908,1,0.617,0.027,0.349,0.002,0.123,0.802,DOWN
0.031,3,0.511,0.057,0.459,0.003,0.423,0.415,DOWN
0.435,3,0.383,0.048,0.452,0.003,0.423,0.415,DOWN
0.004,2,0.511,0.049,0.503,0.003,0.423,0.415,DOWN
0.009,7,0.213,0.041,0.175,0.003,0.423,0.415,DOWN
0.032,2,0.106,0.055,0.18,0.003,0.423,0.415,DOWN
0.022,7,0.191,0.041,0.105,0.003,0.423,0.415,DOWN
0.439,6,0.128,0.041,0.128,0.003,0.423,0.415,DOWN
0.885,4,0.213,0.027,0.143,0.002,0.101,0.785,DOWN
0.907,6,0.66,0.069,0.383,0.004,0.445,0.558,DOWN
0.014,1,0.532,0.064,0.513,0.003,0.423,0.415,UP
0.018,4,0.553,0.054,0.248,0.003,0.423,0.415,DOWN
0.456,6,0.511,0.032,0.604,0.002,0.556,0.564,DOWN
0.022,6,0.468,0.057,0.389,0.003,0.423,0.415,DOWN
0.018,7,0.553,0.075,0.296,0.003,0.423,0.415,UP
0.456,6,0.064,0.033,0.377,0.002,0.371,0.675,DOWN
0.004,5,0.872,0.045,0.416,0.003,0.423,0.415,DOWN
0.456,7,0.596,0.032,0.474,0.002,0.262,0.761,DOWN
0.868,3,0.021,0.029,0.273,0.002,0.288,0.57,DOWN
0.88,4,0.596,0.034,0.427,0.002,0.531,0.365,DOWN
0.018,3,0.957,0.076,0.449,0.003,0.423,0.415,DOWN
0.881,7,0.66,0.029,0.233,0.002,0.286,0.729,DOWN
0.434,4,0.957,0.045,0.433,0.003,0.423,0.415,DOWN
0.438,1,0.936,0.048,0.302,0.003,0.423,0.415,UP
0.461,6,0.766,0.034,0.59,0.002,0.496,0.252,DOWN
0.443,2,0.447,0.045,0.535,0.003,0.555,0.501,DOWN
0.022,3,0.702,0.06,0.439,0.003,0.423,0.415,DOWN
0.018,4,0.277,0.07,0.459,0.003,0.423,0.415,DOWN
0.452,3,0.106,0.033,0.213,0.002,0.372,0.747,DOWN
0.447,6,0.809,0.091,0.718,0.006,0.572,0.458,UP
0.032,4,0.511,0.075,0.475,0.003,0.423,0.415,UP
0.473,1,0.043,0.028,0.233,0.002,0.309,0.76,DOWN
0.018,1,0.681,0.081,0.516,0.003,0.423,0.415,UP
0.881,3,0.298,0.029,0.436,0.002,0.526,0.343,DOWN
0.01,5,0.596,0.042,0.485,0.003,0.423,0.415,DOWN
0.434,5,0.596,0.047,0.503,0.003,0.423,0.415,DOWN
0.023,4,0.255,0.073,0.288,0.003,0.423,0.415,DOWN
0.438,5,0.979,0.058,0.438,0.003,0.423,0.415,DOWN
0.447,5,0.085,0.034,0.324,0.002,0.354,0.463,DOWN
0.022,7,0.574,0.057,0.385,0.003,0.423,0.415,DOWN
0.881,3,0.383,0.037,0.476,0.003,0.553,0.487,UP
0.005,7,0.34,0.042,0.373,0.003,0.423,0.415,DOWN
0.43,5,0.681,0.073,0.504,0.003,0.423,0.415,UP
0.903,4,0.766,0.087,0.48,0.006,0.57,0.386,UP
0.456,4,0.617,0.033,0.567,0.003,0.608,0.373,UP
0.005,6,0.723,0.09,0.614,0.003,0.423,0.415,UP
0.439,2,0.936,0.053,0.334,0.003,0.423,0.415,DOWN
0.881,2,0.0,0.032,0.232,0.002,0.231,0.846,DOWN
0.881,5,0.34,0.029,0.484,0.002,0.534,0.299,DOWN
0.425,6,0.383,0.058,0.301,0.003,0.423,0.415,DOWN
0.911,1,0.915,0.05,0.432,0.003,0.308,0.766,DOWN
0.461,3,0.979,0.029,0.477,0.002,0.417,0.504,DOWN
0.013,1,0.277,0.042,0.608,0.003,0.423,0.415,DOWN
0.461,4,0.298,0.033,0.469,0.002,0.448,0.385,DOWN
0.009,3,0.851,0.042,0.398,0.003,0.423,0.415,DOWN
0.014,7,0.085,0.041,0.256,0.003,0.423,0.415,DOWN
0.457,3,0.787,0.041,0.641,0.003,0.633,0.574,DOWN
0.456,1,0.915,0.03,0.332,0.001,0.243,0.771,UP
0.439,7,0.064,0.046,0.15,0.003,0.423,0.415,DOWN
0.004,6,0.468,0.042,0.37,0.003,0.423,0.415,DOWN
0.425,1,1.0,0.058,0.406,0.003,0.423,0.415,DOWN
0.452,2,0.362,0.044,0.636,0.003,0.593,0.462,UP
0.443,2,0.596,0.071,0.491,0.005,0.57,0.484,DOWN
0.872,1,0.809,0.037,0.442,0.002,0.328,0.77,UP
0.898,2,0.213,0.05,0.273,0.003,0.282,0.651,DOWN
0.013,7,0.511,0.086,0.451,0.003,0.423,0.415,UP
0.426,5,0.213,0.055,0.246,0.003,0.423,0.415,DOWN
0.912,3,0.106,0.043,0.23,0.003,0.349,0.63,DOWN
0.872,7,0.191,0.027,0.222,0.002,0.238,0.794,DOWN
0.018,6,0.979,0.067,0.35,0.003,0.423,0.415,DOWN
0.881,6,0.404,0.029,0.455,0.002,0.449,0.528,DOWN
0.019,6,0.681,0.051,0.329,0.003,0.423,0.415,DOWN
0.442,5,0.894,0.053,0.428,0.004,0.398,0.501,DOWN
0.456,5,0.17,0.026,0.271,0.002,0.257,0.746,DOWN
0.898,2,0.638,0.074,0.521,0.005,0.633,0.439,UP
0.023,1,0.66,0.057,0.439,0.003,0.423,0.415,DOWN
0.027,6,0.722,0.052,0.446,0.003,0.423,0.415,DOWN
0.023,6,0.894,0.071,0.289,0.003,0.423,0.415,DOWN
0.903,5,0.064,0.083,0.375,0.004,0.451,0.554,UP
0.452,3,0.638,0.044,0.566,0.003,0.586,0.391,DOWN
0.439,2,0.426,0.057,0.522,0.003,0.423,0.415,DOWN
0.903,1,0.34,0.032,0.391,0.002,0.278,0.766,DOWN
0.443,3,0.043,0.044,0.285,0.003,0.397,0.501,DOWN
0.434,1,0.872,0.056,0.454,0.003,0.423,0.415,DOWN
0.023,2,0.809,0.086,0.457,0.003,0.423,0.415,UP
0.456,7,0.426,0.032,0.513,0.002,0.481,0.561,UP
0.457,1,0.681,0.035,0.474,0.002,0.428,0.63,UP
0.439,5,0.213,0.058,0.166,0.003,0.423,0.415,DOWN
0.474,1,0.319,0.033,0.293,0.002,0.225,0.813,DOWN
0.023,2,0.447,0.107,0.596,0.003,0.423,0.415,UP
0.014,2,0.872,0.119,0.547,0.003,0.423,0.415,UP
0.439,4,0.979,0.057,0.452,0.003,0.423,0.415,DOWN
0.022,7,0.404,0.058,0.216,0.003,0.423,0.415,DOWN
0.018,2,0.255,0.074,0.391,0.003,0.423,0.415,DOWN
0.43,3,0.617,0.099,0.548,0.003,0.423,0.415,UP
0.018,3,0.383,0.08,0.559,0.003,0.423,0.415,UP
0.023,4,0.468,0.05,0.493,0.003,0.423,0.415,DOWN
0.443,1,0.085,0.044,0.324,0.003,0.38,0.642,DOWN
0.032,7,0.936,0.069,0.317,0.003,0.423,0.415,UP
0.478,5,0.66,0.03,0.396,0.002,0.479,0.347,DOWN
0.469,2,0.851,0.029,0.354,0.002,0.282,0.591,UP
0.001,7,0.085,0.044,0.252,0.003,0.423,0.415,DOWN
0.47,5,0.277,0.043,0.517,0.003,0.547,0.241,DOWN
0.894,1,0.553,0.056,0.443,0.004,0.498,0.707,DOWN
0.434,1,0.404,0.07,0.477,0.003,0.423,0.415,UP
0.881,7,0.468,0.029,0.446,0.002,0.341,0.627,DOWN
0.465,7,0.106,0.027,0.174,0.002,0.307,0.457,DOWN
0.885,6,0.043,0.045,0.463,0.003,0.44,0.37,DOWN
0.46,5,0.426,0.036,0.554,0.002,0.546,0.539,DOWN
0.47,1,0.085,0.028,0.186,0.002,0.25,0.568,DOWN
0.473,3,0.298,0.05,0.539,0.003,0.464,0.331,DOWN
0.01,3,0.617,0.042,0.545,0.003,0.423,0.415,DOWN
0.912,7,0.064,0.045,0.295,0.003,0.379,0.627,DOWN
0.443,3,0.872,0.081,0.47,0.005,0.34,0.501,UP
0.027,4,0.66,0.09,0.451,0.003,0.423,0.415,UP
0.438,6,0.745,0.052,0.323,0.003,0.423,0.415,DOWN
0.872,3,0.468,0.029,0.626,0.002,0.614,0.505,DOWN
0.014,3,0.872,0.074,0.619,0.003,0.423,0.415,DOWN
0.439,2,0.34,0.058,0.424,0.003,0.423,0.415,UP
0.009,6,0.34,0.042,0.46,0.003,0.423,0.415,DOWN
0.004,2,0.723,0.044,0.316,0.003,0.423,0.415,DOWN
0.898,4,0.702,0.066,0.677,0.004,0.678,0.294,UP
0.01,3,0.277,0.041,0.516,0.003,0.423,0.415,DOWN
0.014,7,0.277,0.041,0.199,0.003,0.423,0.415,DOWN
0.474,2,0.043,0.029,0.267,0.002,0.292,0.739,UP
0.429,5,0.702,0.082,0.501,0.003,0.423,0.415,UP
0.443,2,0.809,0.075,0.549,0.006,0.52,0.571,UP
0.005,4,0.553,0.08,0.57,0.003,0.423,0.415,UP
0.899,1,0.957,0.064,0.456,0.004,0.367,0.566,UP
0.438,7,0.149,0.047,0.074,0.003,0.423,0.415,DOWN
0.461,3,0.723,0.037,0.527,0.003,0.523,0.553,DOWN
0.032,2,0.277,0.064,0.229,0.003,0.423,0.415,DOWN
0.425,3,0.809,0.063,0.29,0.003,0.423,0.415,DOWN
0.009,2,0.255,0.042,0.354,0.003,0.423,0.415,DOWN
0.469,6,0.255,0.023,0.303,0.002,0.287,0.668,DOWN
0.001,3,0.894,0.044,0.384,0.003,0.423,0.415,DOWN
0.023,4,0.319,0.089,0.428,0.003,0.423,0.415,DOWN
0.889,5,0.447,0.03,0.533,0.002,0.677,0.279,DOWN
0.885,7,0.532,0.039,0.324,0.003,0.291,0.622,UP
0.018,2,0.702,0.066,0.45,0.003,0.423,0.415,DOWN
0.031,6,0.298,0.056,0.206,0.003,0.423,0.415,DOWN
0.429,3,0.979,0.09,0.407,0.003,0.423,0.415,UP
0.014,5,0.809,0.086,0.557,0.003,0.423,0.415,UP
0.439,7,0.83,0.064,0.457,0.003,0.423,0.415,DOWN
0.019,5,0.213,0.047,0.299,0.003,0.423,0.415,DOWN
0.457,1,0.447,0.03,0.529,0.002,0.277,0.858,UP
0.871,6,0.66,0.028,0.34,0.001,0.278,0.857,DOWN
0.457,6,0.66,0.033,0.497,0.002,0.558,0.379,DOWN
0.912,5,0.383,0.047,0.518,0.003,0.554,0.391,DOWN
0.027,7,0.574,0.058,0.342,0.003,0.423,0.415,UP
0.027,1,0.511,0.074,0.483,0.003,0.423,0.415,DOWN
0.027,5,0.362,0.111,0.477,0.003,0.423,0.415,UP
0.013,7,1.0,0.05,0.424,0.003,0.423,0.415,DOWN
0.001,5,0.681,0.0444,0.547,0.003,0.423,0.415,DOWN
0.469,2,0.957,0.043,0.405,0.003,0.286,0.586,DOWN
0.009,5,0.809,0.045,0.634,0.003,0.423,0.415,DOWN
0.898,4,0.489,0.061,0.501,0.004,0.613,0.507,DOWN
0.872,4,0.064,0.033,0.173,0.002,0.406,0.779,DOWN
0.001,6,0.234,0.079,0.242,0.003,0.423,0.415,UP
0.031,7,0.043,0.054,0.21,0.003,0.423,0.415,DOWN
0.447,5,0.298,0.055,0.614,0.004,0.585,0.383,DOWN
0.032,7,0.043,0.057,0.123,0.003,0.423,0.415,DOWN
0.031,3,0.362,0.068,0.528,0.003,0.423,0.415,DOWN
0.026,7,0.66,0.079,0.202,0.003,0.423,0.415,UP
0.474,1,0.234,0.025,0.102,0.002,0.138,0.761,DOWN
0.894,4,0.149,0.026,0.224,0.001,0.217,0.857,DOWN
0.452,6,0.553,0.034,0.548,0.002,0.564,0.456,DOWN
0.881,6,0.894,0.035,0.355,0.002,0.349,0.794,DOWN
0.465,6,0.553,0.056,0.503,0.004,0.474,0.349,UP
0.014,6,0.468,0.047,0.517,0.003,0.423,0.415,DOWN
0.013,4,0.362,0.04,0.541,0.003,0.423,0.415,DOWN
0.023,3,0.894,0.119,0.44,0.003,0.423,0.415,UP
0.461,2,0.596,0.028,0.509,0.002,0.572,0.529,DOWN
0.898,4,0.383,0.07,0.603,0.003,0.434,0.791,DOWN
0.43,7,0.872,0.05,0.318,0.003,0.423,0.415,DOWN
0.908,6,0.404,0.044,0.493,0.003,0.536,0.398,DOWN
0.425,7,0.468,0.089,0.423,0.003,0.423,0.415,UP
0.46,2,0.277,0.031,0.436,0.002,0.362,0.395,DOWN
0.005,2,0.745,0.092,0.639,0.003,0.423,0.415,UP
0.466,7,0.277,0.04,0.285,0.003,0.206,0.591,DOWN
0.425,4,0.745,0.103,0.436,0.003,0.423,0.415,UP
0.456,1,0.574,0.024,0.37,0.002,0.271,0.652,DOWN
0.889,5,0.979,0.029,0.52,0.002,0.499,0.523,DOWN
0.88,4,0.234,0.043,0.403,0.003,0.352,0.432,DOWN
0.474,1,0.085,0.028,0.167,0.002,0.274,0.546,DOWN
0.908,2,0.596,0.049,0.436,0.003,0.529,0.378,DOWN
0.018,6,0.277,0.072,0.391,0.003,0.423,0.415,UP
0.456,4,0.277,0.034,0.476,0.002,0.526,0.549,UP
0.005,2,0.383,0.043,0.603,0.003,0.423,0.415,DOWN
0.456,4,0.511,0.033,0.569,0.002,0.552,0.464,DOWN
0.895,6,0.511,0.273,0.655,0.016,0.697,0.251,UP
0.46,1,0.298,0.023,0.202,0.002,0.189,0.665,DOWN
0.469,2,0.83,0.044,0.449,0.003,0.442,0.477,UP
0.027,2,0.745,0.079,0.488,0.003,0.423,0.415,DOWN
0.018,4,0.66,0.075,0.425,0.003,0.423,0.415,DOWN
0.872,6,0.149,0.025,0.136,0.001,0.235,0.812,DOWN
0.457,6,0.66,0.047,0.568,0.003,0.495,0.639,UP
0.009,5,0.021,0.042,0.438,0.003,0.423,0.415,DOWN
0.022,6,0.34,0.058,0.375,0.003,0.423,0.415,UP
0.447,6,0.021,0.021,0.274,0.001,0.352,0.754,DOWN
0.894,2,0.511,0.064,0.666,0.004,0.622,0.373,UP
0.443,3,0.043,0.042,0.386,0.003,0.432,0.501,DOWN
0.881,1,0.809,0.029,0.47,0.002,0.451,0.688,DOWN
0.894,6,0.383,0.085,0.611,0.006,0.557,0.496,UP
0.027,5,0.745,0.08,0.431,0.003,0.423,0.415,DOWN
0.881,4,0.745,0.032,0.297,0.002,0.255,0.744,DOWN
0.451,4,0.383,0.041,0.665,0.003,0.461,0.461,DOWN
0.018,6,0.532,0.057,0.422,0.003,0.423,0.415,DOWN
0.032,7,0.787,0.055,0.37,0.003,0.423,0.415,DOWN
0.014,7,0.447,0.041,0.364,0.003,0.423,0.415,DOWN
0.898,7,0.383,0.086,0.593,0.006,0.473,0.745,UP
0.898,3,0.809,0.081,0.638,0.004,0.48,0.791,UP
